signature,trump_count,strongest_trump_strength,weakest_trump_strength,max_suit_run,trump_strength_sum,color_aces,total_points,non_trump_points,hand_instances,games,win_rate,win_rate_std,avg_points,hand_example
1-9-9-3-9-1,1,9.0,9.0,3,9,1,37,35,2011,0,0.0,0.0,0.0,K_Bell 9_Acorn 8_Acorn 10_Leaf 10_Bell U_Leaf 9_Bell A_Acorn
4-14-7-2-42-1,4,14.0,7.0,2,42,1,21,11,614,0,0.0,0.0,0.0,9_Acorn 9_Leaf O_Leaf O_Acorn U_Heart A_Bell U_Bell 8_Bell
4-13-5-2-39-0,4,13.0,5.0,2,39,0,28,10,448,0,0.0,0.0,0.0,7_Leaf U_Acorn O_Bell 7_Bell 8_Acorn 10_Bell O_Leaf 10_Heart
3-14-4-2-27-1,3,14.0,4.0,2,27,1,34,25,337,0,0.0,0.0,0.0,K_Bell K_Heart O_Acorn A_Leaf 10_Acorn 7_Acorn 7_Bell U_Leaf
1-3-3-3-3-1,1,3.0,3.0,3,3,1,25,25,1898,0,0.0,0.0,0.0,8_Bell K_Leaf 9_Acorn 7_Bell 10_Leaf 9_Heart 8_Leaf A_Acorn
4-14-0-2-34-0,4,14.0,,2,34,0,12,4,690,0,0.0,0.0,0.0,8_Leaf 7_Leaf O_Acorn U_Leaf 9_Acorn K_Acorn O_Bell 7_Heart
4-14-0-2-32-0,4,14.0,,2,32,0,27,10,889,0,0.0,0.0,0.0,8_Leaf O_Acorn 10_Acorn 7_Acorn O_Heart 7_Heart 9_Leaf A_Heart
4-14-7-2-41-0,4,14.0,7.0,2,41,0,30,20,435,0,0.0,0.0,0.0,10_Acorn 10_Leaf U_Leaf 8_Bell O_Bell 9_Bell O_Acorn U_Bell
3-3-0-3-5-1,3,3.0,,3,5,1,11,11,410,0,0.0,0.0,0.0,8_Heart 7_Bell 9_Heart 7_Heart A_Bell 7_Acorn 8_Bell 8_Leaf
2-10-8-3-18-2,2,10.0,8.0,3,18,2,36,32,600,0,0.0,0.0,0.0,9_Bell 7_Acorn U_Acorn A_Bell 10_Acorn U_Heart A_Leaf 8_Acorn
5-13-2-1-35-0,5,13.0,2.0,1,35,0,26,0,240,0,0.0,0.0,0.0,U_Leaf 7_Bell 10_Heart O_Leaf 9_Acorn 9_Leaf 8_Heart A_Heart
4-14-0-2-34-1,4,14.0,,2,34,1,29,21,615,0,0.0,0.0,0.0,O_Bell 7_Acorn 9_Leaf 7_Heart 10_Bell O_Acorn A_Bell U_Leaf
3-11-4-3-21-0,3,11.0,4.0,3,21,0,32,14,297,0,0.0,0.0,0.0,K_Heart 10_Acorn 7_Acorn A_Heart 7_Leaf O_Bell 9_Acorn K_Leaf
2-6-4-2-10-1,2,6.0,4.0,2,10,1,30,15,330,0,0.0,0.0,0.0,8_Bell A_Leaf K_Acorn K_Heart A_Heart 8_Acorn 9_Bell 7_Leaf
2-13-9-3-22-2,2,13.0,9.0,3,22,2,27,22,585,0,0.0,0.0,0.0,9_Leaf A_Bell 7_Acorn O_Leaf A_Leaf U_Leaf 9_Acorn 7_Leaf
2-8-2-3-10-1,2,8.0,2.0,3,10,1,37,35,1212,0,0.0,0.0,0.0,A_Bell 9_Leaf 10_Leaf 8_Heart 9_Bell U_Heart K_Acorn 10_Bell
4-13-2-2-28-0,4,13.0,2.0,2,28,0,13,4,924,0,0.0,0.0,0.0,O_Leaf K_Bell U_Leaf 8_Leaf K_Heart 8_Heart 7_Acorn 9_Acorn
3-10-0-3-19-1,3,10.0,,3,19,1,19,15,421,0,0.0,0.0,0.0,U_Acorn 8_Acorn U_Leaf K_Leaf A_Leaf 9_Acorn 7_Heart 8_Leaf
2-6-0-3-6-1,2,6.0,,3,6,1,40,29,1262,0,0.0,0.0,0.0,K_Acorn 7_Bell 7_Heart 9_Acorn A_Leaf K_Leaf A_Heart 10_Acorn
4-12-0-2-27-1,4,12.0,,2,27,1,36,29,847,0,0.0,0.0,0.0,U_Heart K_Acorn O_Heart 10_Bell 7_Heart K_Leaf U_Bell A_Leaf
3-10-5-2-21-1,3,10.0,5.0,2,21,1,48,25,395,0,0.0,0.0,0.0,A_Bell 10_Leaf 8_Acorn A_Heart U_Acorn K_Leaf 10_Heart 7_Bell
4-13-4-2-32-2,4,13.0,4.0,2,32,2,51,32,164,0,0.0,0.0,0.0,A_Acorn K_Heart A_Leaf 10_Bell U_Acorn 9_Acorn 10_Heart O_Leaf
4-7-0-2-15-0,4,7.0,,2,15,0,36,24,449,0,0.0,0.0,0.0,7_Heart K_Leaf 10_Bell 10_Acorn 7_Acorn U_Bell 10_Heart 9_Heart
5-14-2-2-44-0,5,14.0,2.0,2,44,0,13,4,650,0,0.0,0.0,0.0,O_Leaf O_Heart O_Acorn 7_Bell K_Bell 9_Heart 8_Heart 9_Acorn
3-14-6-3-27-1,3,14.0,6.0,3,27,1,51,35,422,0,0.0,0.0,0.0,K_Leaf O_Acorn 10_Leaf A_Heart 7_Acorn A_Acorn 10_Acorn U_Bell
3-7-5-2-18-1,3,7.0,5.0,2,18,1,38,15,402,0,0.0,0.0,0.0,A_Heart K_Bell U_Bell 9_Leaf 10_Heart 7_Acorn A_Acorn 7_Leaf
2-7-2-3-9-2,2,7.0,2.0,3,9,2,24,22,606,0,0.0,0.0,0.0,8_Heart U_Bell 9_Leaf 7_Leaf 9_Acorn A_Leaf A_Bell 8_Bell
2-8-6-3-14-1,2,8.0,6.0,3,14,1,48,35,1224,0,0.0,0.0,0.0,K_Leaf A_Heart U_Heart A_Acorn 10_Acorn 8_Leaf 7_Leaf 10_Bell
4-13-9-3-44-0,4,13.0,9.0,3,44,0,30,20,59,0,0.0,0.0,0.0,9_Bell O_Leaf U_Acorn 10_Bell O_Heart 7_Bell 10_Leaf U_Leaf
3-12-8-3-30-1,3,12.0,8.0,3,30,1,38,31,402,0,0.0,0.0,0.0,U_Acorn O_Heart U_Heart 10_Bell 10_Leaf 8_Leaf 9_Leaf A_Acorn
3-12-0-2-19-1,3,12.0,,2,19,1,30,25,357,0,0.0,0.0,0.0,8_Acorn 10_Leaf A_Acorn U_Bell K_Bell 7_Heart O_Heart 9_Bell
4-13-3-3-32-1,4,13.0,3.0,3,32,1,41,31,342,0,0.0,0.0,0.0,10_Bell K_Heart 10_Leaf O_Leaf O_Heart 9_Heart A_Bell 7_Bell
2-9-4-3-13-1,2,9.0,4.0,3,13,1,17,11,1234,0,0.0,0.0,0.0,7_Acorn U_Leaf A_Acorn 9_Bell K_Heart 7_Bell 8_Acorn 9_Leaf
4-14-2-3-31-0,4,14.0,2.0,3,31,0,31,24,310,0,0.0,0.0,0.0,O_Acorn 10_Acorn U_Heart K_Leaf 10_Leaf U_Bell 9_Leaf 8_Heart
2-7-2-4-9-0,2,7.0,2.0,4,9,0,26,24,150,0,0.0,0.0,0.0,8_Heart U_Bell 10_Leaf K_Bell 9_Bell 7_Leaf 10_Bell 7_Bell
2-6-0-3-6-2,2,6.0,,3,6,2,51,40,601,0,0.0,0.0,0.0,K_Leaf 7_Heart A_Heart 7_Bell A_Bell K_Bell A_Leaf 10_Acorn
5-13-3-2-40-1,5,13.0,3.0,2,40,1,23,11,353,0,0.0,0.0,0.0,A_Bell 7_Leaf U_Leaf K_Heart 9_Heart O_Bell 9_Leaf O_Leaf
4-12-0-2-24-0,4,12.0,,2,24,0,15,10,910,0,0.0,0.0,0.0,7_Heart 7_Bell 10_Bell 7_Leaf 8_Heart U_Acorn 7_Acorn O_Heart
3-13-2-2-27-3,3,13.0,2.0,2,27,3,59,53,10,0,0.0,0.0,0.0,A_Acorn 10_Leaf A_Leaf A_Bell 10_Bell 8_Heart O_Leaf O_Heart
3-11-2-3-19-0,3,11.0,2.0,3,19,0,38,24,296,0,0.0,0.0,0.0,7_Acorn 10_Acorn K_Acorn 8_Heart O_Bell A_Heart 10_Bell 7_Leaf
4-14-3-2-36-0,4,14.0,3.0,2,36,0,7,0,867,0,0.0,0.0,0.0,9_Bell 7_Bell 7_Acorn U_Acorn O_Acorn 9_Heart U_Leaf 7_Leaf
4-11-3-2-32-2,4,11.0,3.0,2,32,2,29,22,50,0,0.0,0.0,0.0,A_Leaf A_Bell 8_Bell U_Heart O_Bell U_Acorn 9_Heart 9_Acorn
3-9-0-3-15-1,3,9.0,,3,15,1,24,11,449,0,0.0,0.0,0.0,8_Bell 9_Leaf U_Leaf A_Leaf 7_Heart 8_Acorn A_Heart 8_Leaf
5-14-4-2-50-1,5,14.0,4.0,2,50,1,40,25,184,0,0.0,0.0,0.0,K_Heart O_Leaf K_Bell O_Acorn A_Acorn 10_Bell U_Heart O_Bell
3-11-2-2-20-1,3,11.0,2.0,2,20,1,20,15,410,0,0.0,0.0,0.0,8_Heart 8_Bell 9_Leaf O_Bell K_Acorn A_Bell 8_Leaf U_Bell
3-12-6-2-25-1,3,12.0,6.0,2,25,1,37,21,345,0,0.0,0.0,0.0,8_Bell 10_Acorn O_Heart A_Bell 8_Leaf A_Heart U_Bell 7_Leaf
4-14-6-2-41-0,4,14.0,6.0,2,41,0,19,0,655,0,0.0,0.0,0.0,8_Acorn O_Heart 7_Bell O_Acorn U_Leaf 8_Bell 8_Leaf A_Heart
2-3-2-2-5-2,2,3.0,2.0,2,5,2,32,32,169,0,0.0,0.0,0.0,10_Leaf 8_Heart A_Leaf 9_Heart 7_Acorn 9_Bell 8_Bell A_Acorn
3-13-9-2-32-1,3,13.0,9.0,2,32,1,28,21,391,0,0.0,0.0,0.0,9_Acorn U_Leaf 9_Bell O_Leaf 10_Bell 9_Leaf A_Leaf U_Acorn
4-11-0-2-23-1,4,11.0,,2,23,1,16,11,900,0,0.0,0.0,0.0,7_Heart 9_Leaf 8_Acorn A_Acorn 9_Heart 9_Bell U_Leaf O_Bell
3-12-8-2-29-2,3,12.0,8.0,2,29,2,43,36,147,0,0.0,0.0,0.0,O_Heart 10_Leaf 9_Acorn K_Bell U_Heart A_Acorn A_Bell U_Leaf
2-14-2-3-16-0,2,14.0,2.0,3,16,0,31,28,722,0,0.0,0.0,0.0,K_Acorn 10_Acorn 10_Leaf 7_Bell 8_Acorn 8_Heart O_Acorn K_Bell
6-13-0-1-42-0,6,13.0,,1,42,0,27,4,398,0,0.0,0.0,0.0,7_Bell U_Bell O_Leaf O_Heart 7_Heart K_Leaf K_Heart A_Heart
4-11-0-2-24-0,4,11.0,,2,24,0,17,12,923,0,0.0,0.0,0.0,K_Leaf K_Acorn K_Bell U_Acorn 8_Acorn 7_Heart O_Bell 9_Heart
2-14-4-2-18-1,2,14.0,4.0,2,18,1,32,25,320,0,0.0,0.0,0.0,A_Acorn 10_Acorn 8_Bell K_Heart K_Bell O_Acorn 7_Leaf 8_Leaf
3-8-4-3-17-1,3,8.0,4.0,3,17,1,27,11,426,0,0.0,0.0,0.0,K_Heart 7_Leaf 9_Leaf 10_Heart U_Heart A_Acorn 8_Leaf 7_Acorn
2-6-3-3-9-1,2,6.0,3.0,3,9,1,40,29,1261,0,0.0,0.0,0.0,10_Acorn K_Acorn 9_Heart K_Bell A_Heart 7_Bell A_Bell 7_Acorn
6-11-0-2-45-0,6,11.0,,2,45,0,21,10,8,0,0.0,0.0,0.0,8_Acorn 7_Heart U_Heart O_Bell U_Acorn 10_Acorn U_Bell U_Leaf
5-14-0-3-30-0,5,14.0,,3,30,0,6,0,52,0,0.0,0.0,0.0,7_Heart 7_Leaf 9_Heart O_Bell 8_Heart 9_Leaf O_Acorn 8_Leaf
2-10-4-3-14-0,2,10.0,4.0,3,14,0,24,18,713,0,0.0,0.0,0.0,K_Leaf 9_Acorn 8_Leaf K_Bell 8_Acorn 10_Leaf U_Acorn K_Heart
6-13-0-1-34-0,6,13.0,,1,34,0,16,0,173,0,0.0,0.0,0.0,8_Heart A_Heart 9_Bell U_Acorn O_Leaf 7_Heart 9_Heart 9_Acorn
2-13-9-3-22-1,2,13.0,9.0,3,22,1,20,15,1234,0,0.0,0.0,0.0,9_Acorn 8_Bell K_Acorn O_Leaf 8_Leaf U_Leaf A_Acorn 9_Leaf
5-14-0-1-30-0,5,14.0,,1,30,0,30,24,217,0,0.0,0.0,0.0,10_Acorn 8_Heart 9_Heart O_Acorn 7_Heart 10_Leaf O_Bell K_Bell
2-11-7-3-18-0,2,11.0,7.0,3,18,0,33,28,706,0,0.0,0.0,0.0,7_Bell K_Leaf 7_Acorn 10_Acorn O_Bell K_Acorn U_Bell 10_Bell
4-14-0-3-25-1,4,14.0,,3,25,1,24,15,300,0,0.0,0.0,0.0,8_Acorn A_Acorn K_Acorn O_Acorn 7_Heart K_Heart U_Bell 7_Leaf
3-14-5-3-31-1,3,14.0,5.0,3,31,1,31,15,447,0,0.0,0.0,0.0,10_Heart A_Bell O_Acorn O_Heart 7_Bell 7_Acorn K_Bell 9_Acorn
3-6-0-3-9-1,3,6.0,,3,9,1,26,15,408,0,0.0,0.0,0.0,8_Leaf K_Leaf 7_Heart A_Acorn 9_Heart 8_Acorn 9_Acorn A_Heart
5-11-0-2-35-0,5,11.0,,2,35,0,13,4,192,0,0.0,0.0,0.0,U_Leaf O_Bell 9_Bell K_Bell U_Heart 9_Acorn 7_Heart U_Bell
4-14-6-3-40-1,4,14.0,6.0,3,40,1,34,15,258,0,0.0,0.0,0.0,O_Acorn K_Acorn U_Heart 8_Acorn 9_Acorn A_Leaf A_Heart O_Heart
4-11-0-2-29-0,4,11.0,,2,29,0,15,8,219,0,0.0,0.0,0.0,O_Bell 8_Leaf U_Heart 9_Bell 7_Heart U_Acorn K_Bell K_Acorn
4-14-2-2-34-2,4,14.0,2.0,2,34,2,49,32,216,0,0.0,0.0,0.0,O_Acorn O_Heart 10_Bell 8_Heart 8_Acorn A_Heart A_Leaf A_Bell
3-11-7-4-26-0,3,11.0,7.0,4,26,0,21,14,36,0,0.0,0.0,0.0,10_Bell O_Bell 7_Acorn 7_Bell U_Heart 8_Bell K_Bell U_Bell
3-14-7-2-30-1,3,14.0,7.0,2,30,1,38,31,398,0,0.0,0.0,0.0,U_Leaf A_Bell 9_Leaf O_Acorn 10_Leaf 8_Bell 10_Acorn U_Bell
4-12-0-4-23-1,4,12.0,,4,23,1,49,25,28,0,0.0,0.0,0.0,10_Leaf K_Leaf 10_Heart A_Heart 9_Leaf A_Leaf O_Heart 7_Heart
4-13-4-2-28-0,4,13.0,4.0,2,28,0,32,4,237,0,0.0,0.0,0.0,K_Leaf O_Leaf 8_Bell K_Heart 7_Bell 10_Heart A_Heart 7_Leaf
5-14-0-2-27-0,5,14.0,,2,27,0,24,0,234,0,0.0,0.0,0.0,10_Heart 8_Heart O_Acorn 7_Heart 7_Bell A_Heart 8_Bell 9_Leaf
5-14-3-1-44-0,5,14.0,3.0,1,44,0,30,20,258,0,0.0,0.0,0.0,O_Heart 10_Bell O_Acorn 9_Heart U_Bell U_Heart 8_Leaf 10_Acorn
2-8-4-3-12-2,2,8.0,4.0,3,12,2,32,26,569,0,0.0,0.0,0.0,A_Acorn 8_Bell 9_Acorn K_Leaf 7_Acorn K_Heart U_Heart A_Leaf
4-13-0-2-24-2,4,13.0,,2,24,2,56,32,237,0,0.0,0.0,0.0,A_Heart O_Leaf 10_Bell A_Leaf 7_Leaf 7_Heart 10_Heart A_Bell
3-10-4-3-23-2,3,10.0,4.0,3,23,2,34,26,122,0,0.0,0.0,0.0,9_Leaf U_Leaf U_Acorn A_Acorn A_Bell K_Heart 8_Acorn K_Acorn
3-13-0-3-15-2,3,13.0,,3,15,2,35,32,146,0,0.0,0.0,0.0,9_Bell 8_Heart A_Acorn 7_Heart 8_Leaf 10_Bell O_Leaf A_Bell
1-7-7-3-7-0,1,7.0,7.0,3,7,0,30,28,948,0,0.0,0.0,0.0,K_Bell 10_Leaf U_Bell 8_Leaf 9_Acorn K_Acorn 10_Acorn 8_Bell
2-8-3-2-11-1,2,8.0,3.0,2,11,1,33,31,333,0,0.0,0.0,0.0,9_Heart A_Acorn 8_Acorn 10_Bell 9_Leaf 10_Leaf U_Heart 8_Bell
4-12-3-2-29-0,4,12.0,3.0,2,29,0,20,4,614,0,0.0,0.0,0.0,K_Bell 9_Heart U_Heart 7_Acorn A_Heart O_Heart 8_Leaf 7_Leaf
5-14-6-2-50-0,5,14.0,6.0,2,50,0,25,4,328,0,0.0,0.0,0.0,U_Acorn O_Acorn K_Leaf 8_Bell O_Heart A_Heart U_Heart 9_Bell
3-10-0-3-12-0,3,10.0,,3,12,0,16,14,290,0,0.0,0.0,0.0,8_Leaf 8_Heart K_Leaf 10_Acorn 7_Heart 9_Acorn 8_Acorn U_Acorn
2-9-8-3-17-2,2,9.0,8.0,3,17,2,26,22,562,0,0.0,0.0,0.0,A_Leaf 8_Acorn 9_Acorn A_Bell U_Leaf 9_Leaf U_Heart 7_Leaf
2-6-0-2-6-2,2,6.0,,2,6,2,33,22,163,0,0.0,0.0,0.0,7_Leaf 8_Bell 7_Heart A_Bell 8_Acorn A_Acorn A_Heart 8_Leaf
4-12-2-2-28-1,4,12.0,2.0,2,28,1,36,21,818,0,0.0,0.0,0.0,O_Heart 10_Heart 8_Heart 10_Acorn 9_Leaf U_Leaf A_Acorn 9_Bell
4-14-8-2-47-0,4,14.0,8.0,2,47,0,21,10,252,0,0.0,0.0,0.0,O_Heart 8_Acorn U_Heart 10_Leaf 7_Leaf O_Acorn O_Leaf 9_Bell
3-13-5-3-26-1,3,13.0,5.0,3,26,1,40,25,444,0,0.0,0.0,0.0,O_Leaf 10_Leaf 7_Leaf U_Heart 9_Leaf 10_Heart K_Acorn A_Bell
6-12-6-1-56-1,6,12.0,6.0,1,56,1,38,15,2,0,0.0,0.0,0.0,A_Acorn U_Leaf A_Heart U_Heart O_Bell K_Leaf U_Acorn O_Heart
2-5-0-3-5-0,2,5.0,,3,5,0,24,14,670,0,0.0,0.0,0.0,K_Acorn 7_Heart 7_Acorn 8_Bell 10_Bell 8_Leaf 10_Heart 8_Acorn
5-14-2-2-38-1,5,14.0,2.0,2,38,1,32,15,562,0,0.0,0.0,0.0,O_Acorn U_Acorn 10_Heart U_Bell 9_Bell K_Leaf A_Leaf 8_Heart
3-8-3-2-16-1,3,8.0,3.0,2,16,1,37,25,376,0,0.0,0.0,0.0,9_Heart 8_Leaf 10_Bell U_Heart K_Leaf A_Bell 9_Acorn 10_Heart
3-13-5-2-28-1,3,13.0,5.0,2,28,1,46,31,389,0,0.0,0.0,0.0,8_Bell U_Acorn O_Leaf 8_Acorn 10_Acorn 10_Heart 10_Leaf A_Bell
3-7-3-3-16-1,3,7.0,3.0,3,16,1,38,25,390,0,0.0,0.0,0.0,A_Heart 10_Bell U_Bell 8_Acorn A_Leaf K_Bell 9_Bell 9_Heart
2-8-6-4-14-1,2,8.0,6.0,4,14,1,38,25,368,0,0.0,0.0,0.0,K_Bell 7_Acorn 10_Leaf A_Bell U_Heart 7_Bell 8_Bell A_Heart
4-12-2-3-26-1,4,12.0,2.0,3,26,1,40,25,255,0,0.0,0.0,0.0,K_Bell U_Bell O_Heart 10_Bell 8_Acorn 10_Heart 8_Heart A_Bell
5-14-0-3-44-0,5,14.0,,3,44,0,20,10,52,0,0.0,0.0,0.0,O_Bell U_Acorn 7_Leaf 7_Heart O_Acorn 8_Leaf 10_Leaf U_Leaf
5-13-2-2-34-0,5,13.0,2.0,2,34,0,19,0,540,0,0.0,0.0,0.0,K_Heart 10_Heart 7_Bell O_Leaf U_Acorn 8_Heart 8_Leaf 7_Leaf
2-12-8-4-20-0,2,12.0,8.0,4,20,0,19,14,141,0,0.0,0.0,0.0,8_Acorn O_Heart 7_Acorn U_Heart 10_Bell K_Acorn 7_Leaf 9_Acorn
5-8-0-2-17-0,5,8.0,,2,17,0,6,0,63,0,0.0,0.0,0.0,9_Heart 8_Heart 7_Leaf 7_Heart 8_Leaf U_Heart K_Heart 8_Acorn
4-9-3-2-21-1,4,9.0,3.0,2,21,1,37,21,233,0,0.0,0.0,0.0,9_Heart 8_Bell 10_Leaf K_Heart A_Bell 10_Heart U_Leaf 8_Acorn
2-10-3-3-13-2,2,10.0,3.0,3,13,2,38,36,554,0,0.0,0.0,0.0,7_Acorn U_Acorn A_Leaf 8_Bell K_Leaf A_Bell 10_Bell 9_Heart
4-13-2-2-27-0,4,13.0,2.0,2,27,0,19,14,653,0,0.0,0.0,0.0,8_Heart K_Acorn 8_Leaf U_Leaf O_Leaf 10_Leaf 8_Acorn 9_Heart
4-14-0-3-39-1,4,14.0,,3,39,1,30,21,81,0,0.0,0.0,0.0,8_Leaf 10_Leaf 9_Leaf O_Acorn 7_Heart O_Leaf A_Acorn O_Heart
4-13-2-2-32-0,4,13.0,2.0,2,32,0,27,20,862,0,0.0,0.0,0.0,8_Heart 10_Leaf O_Leaf U_Bell 10_Bell U_Acorn 8_Leaf 8_Acorn
5-14-0-2-39-0,5,14.0,,2,39,0,12,4,906,0,0.0,0.0,0.0,7_Leaf 9_Heart 7_Acorn O_Acorn O_Leaf K_Acorn U_Leaf 7_Heart
4-14-3-2-34-1,4,14.0,3.0,2,34,1,32,15,1050,0,0.0,0.0,0.0,9_Heart O_Bell A_Heart K_Acorn 7_Leaf A_Bell O_Acorn 9_Leaf
2-9-8-4-17-2,2,9.0,8.0,4,17,2,40,36,126,0,0.0,0.0,0.0,K_Acorn 10_Acorn A_Acorn A_Bell 7_Bell U_Heart U_Leaf 8_Acorn
2-14-6-3-20-0,2,14.0,6.0,3,20,0,26,12,752,0,0.0,0.0,0.0,8_Leaf 7_Acorn K_Leaf K_Bell O_Acorn K_Acorn 7_Leaf A_Heart
3-14-9-3-34-0,3,14.0,9.0,3,34,0,28,20,259,0,0.0,0.0,0.0,U_Leaf O_Acorn O_Bell 10_Acorn 10_Bell 8_Acorn 7_Leaf 7_Acorn
4-10-0-2-20-1,4,10.0,,2,20,1,35,31,604,0,0.0,0.0,0.0,U_Bell 9_Heart U_Acorn 8_Bell 10_Bell 10_Leaf A_Acorn 7_Heart
4-13-5-2-33-0,4,13.0,5.0,2,33,0,50,24,407,0,0.0,0.0,0.0,10_Bell 10_Leaf A_Heart 7_Bell 10_Heart U_Leaf O_Leaf K_Leaf
3-11-3-3-19-0,3,11.0,3.0,3,19,0,21,8,302,0,0.0,0.0,0.0,8_Bell K_Bell 7_Leaf 7_Bell 9_Heart 10_Heart K_Acorn O_Bell
3-11-0-2-20-0,3,11.0,,2,20,0,23,18,318,0,0.0,0.0,0.0,K_Leaf 7_Leaf U_Leaf K_Bell 7_Acorn O_Bell 7_Heart 10_Acorn
3-11-3-2-24-1,3,11.0,3.0,2,24,1,44,39,384,0,0.0,0.0,0.0,K_Acorn K_Leaf 10_Acorn 10_Leaf 9_Heart U_Acorn O_Bell A_Bell
