signature,trump_count,strongest_trump_strength,weakest_trump_strength,max_suit_run,trump_strength_sum,color_aces,total_points,non_trump_points,hand_instances,games,win_rate,win_rate_std,avg_points,hand_example
7-14-4-1-69-1,7,14.0,4.0,1,69,1,30,11,4,300,1.0,0.0,108.61,O_Acorn O_Bell U_Heart O_Leaf K_Heart A_Bell U_Leaf U_Acorn
8-14-3-0-66-0,8,14.0,3.0,0,66,0,18,0,3,300,1.0,0.0,101.22666666666667,K_Heart U_Bell O_Acorn U_Acorn U_Heart U_Leaf O_Bell 9_Heart
7-14-0-1-69-0,7,14.0,,1,69,0,16,0,2,300,1.0,0.0,107.76666666666667,O_Bell O_Heart O_Acorn 8_Acorn U_Leaf O_Leaf 7_Heart U_Acorn
6-14-8-2-67-1,6,14.0,8.0,2,67,1,37,21,6,300,1.0,0.0,113.84666666666666,A_Acorn O_Leaf U_Leaf O_Heart O_Acorn O_Bell U_Heart 10_Acorn
8-14-0-0-65-0,8,14.0,,0,65,0,23,0,12,300,1.0,0.0,104.94666666666667,O_Acorn 7_Heart O_Heart U_Heart 10_Heart U_Acorn 9_Heart O_Leaf
7-14-6-1-69-0,7,14.0,6.0,1,69,0,30,4,8,300,1.0,0.0,103.27333333333333,A_Heart O_Heart O_Acorn O_Bell U_Leaf U_Acorn U_Bell K_Leaf
7-14-5-1-74-0,7,14.0,5.0,1,74,0,30,4,6,300,1.0,0.0,107.31,O_Heart O_Bell K_Acorn U_Acorn 10_Heart U_Leaf O_Leaf O_Acorn
8-14-5-0-72-0,8,14.0,5.0,0,72,0,35,0,1,300,1.0,0.0,107.05333333333333,A_Heart O_Acorn U_Leaf U_Bell U_Acorn U_Heart O_Leaf 10_Heart
7-13-6-1-68-1,7,13.0,6.0,1,68,1,37,11,1,300,1.0,0.0,106.78333333333333,U_Leaf O_Leaf A_Acorn U_Bell U_Acorn O_Heart A_Heart O_Bell
8-14-3-0-69-0,8,14.0,3.0,0,69,0,28,0,4,300,1.0,0.0,108.11,K_Heart A_Heart U_Bell O_Acorn 9_Heart O_Leaf U_Acorn O_Heart
8-14-4-0-65-0,8,14.0,4.0,0,65,0,37,0,1,300,1.0,0.0,102.89333333333333,U_Heart O_Acorn A`_Heart U_Acorn K_Heart U_Bell O_Bell 10_Heart
6-14-8-2-66-1,6,14.0,8.0,2,66,1,26,11,3,300,1.0,0.0,106.65666666666667,U_Heart U_Leaf O_Acorn 7_Bell A_Bell O_Heart U_Acorn O_Leaf
7-14-5-1-68-1,7,14.0,5.0,1,68,1,36,11,2,300,1.0,0.0,107.63666666666667,U_Heart 10_Heart A_Leaf U_Acorn O_Acorn O_Leaf U_Bell O_Bell
6-14-3-1-60-1,6,14.0,3.0,1,60,1,28,15,22,300,1.0,0.0,102.94666666666667,9_Heart U_Acorn K_Bell O_Leaf O_Acorn U_Heart A_Acorn O_Heart
7-14-3-1-69-0,7,14.0,3.0,1,69,0,25,0,12,300,1.0,0.0,103.29333333333334,U_Acorn A_Heart O_Bell 7_Acorn O_Acorn O_Heart 9_Heart O_Leaf
6-14-9-1-69-2,6,14.0,9.0,1,69,2,38,22,1,300,1.0,0.0,118.24666666666667,A_Bell U_Leaf O_Bell U_Acorn A_Leaf O_Heart O_Leaf O_Acorn
8-14-0-0-72-0,8,14.0,,0,72,0,26,0,1,300,1.0,0.0,111.7,U_Acorn O_Bell O_Acorn U_Bell O_Leaf O_Heart 7_Heart 10_Heart
7-14-6-1-66-0,7,14.0,6.0,1,66,0,25,0,4,300,1.0,0.0,99.88666666666667,A_Heart U_Acorn 8_Acorn U_Bell O_Heart U_Leaf U_Heart O_Acorn
6-14-6-1-62-2,6,14.0,6.0,1,62,2,46,22,4,300,1.0,0.0,108.05333333333333,A_Bell U_Leaf A_Leaf U_Heart O_Acorn A_Heart O_Leaf O_Heart
6-14-7-1-62-2,6,14.0,7.0,1,62,2,37,22,1,300,1.0,0.0,108.43666666666667,A_Leaf A_Bell U_Bell O_Acorn O_Heart O_Bell U_Acorn U_Heart
8-12-3-0-63-0,8,12.0,3.0,0,63,0,33,0,1,300,1.0,0.0,102.23666666666666,U_Leaf U_Acorn A_Heart 10_Heart 9_Heart O_Bell O_Heart U_Bell
5-14-8-1-58-2,5,14.0,8.0,1,58,2,40,26,3,300,1.0,0.0,109.75666666666666,A_Bell O_Bell O_Heart O_Leaf K_Leaf A_Acorn O_Acorn U_Heart
7-14-0-1-64-1,7,14.0,,1,64,1,26,11,4,300,1.0,0.0,107.71666666666667,O_Heart U_Heart A_Leaf O_Bell O_Acorn U_Acorn U_Leaf 7_Heart
7-14-3-1-65-1,7,14.0,3.0,1,65,1,29,11,2,300,1.0,0.0,108.68,A_Acorn O_Acorn U_Heart 9_Heart O_Heart O_Leaf K_Heart O_Bell
8-14-5-0-75-0,8,14.0,5.0,0,75,0,36,0,1,300,1.0,0.0,110.08666666666667,U_Acorn O_Bell O_Heart O_Acorn U_Heart A_Heart U_Leaf 10_Heart
6-14-6-1-66-1,6,14.0,6.0,1,66,1,36,11,3,300,1.0,0.0,106.44333333333333,A_Bell O_Leaf O_Bell 9_Leaf U_Acorn A_Heart O_Heart O_Acorn
6-14-8-2-66-0,6,14.0,8.0,2,66,0,19,4,10,300,1.0,0.0,100.66666666666667,9_Acorn O_Leaf U_Heart U_Leaf K_Acorn U_Acorn O_Heart O_Acorn
6-14-0-1-60-1,6,14.0,,1,60,1,25,11,5,300,1.0,0.0,106.45666666666666,7_Heart O_Heart O_Acorn U_Acorn O_Leaf A_Acorn O_Bell 7_Leaf
7-13-6-1-64-0,7,13.0,6.0,1,64,0,25,0,3,300,1.0,0.0,95.47666666666667,U_Heart U_Acorn O_Bell 9_Bell O_Leaf U_Leaf A_Heart U_Bell
7-14-6-1-73-0,7,14.0,6.0,1,73,0,27,0,9,300,1.0,0.0,106.76,U_Leaf U_Heart O_Heart A_Heart 7_Bell O_Acorn O_Leaf O_Bell
8-14-4-0-76-0,8,14.0,4.0,0,76,0,30,0,2,300,1.0,0.0,111.08666666666667,A_Heart O_Leaf U_Leaf K_Heart U_Heart O_Acorn O_Heart U_Acorn
7-13-3-1-65-0,7,13.0,3.0,1,65,0,15,0,6,300,1.0,0.0,98.81666666666666,O_Bell 9_Heart 9_Bell U_Leaf O_Heart O_Leaf U_Bell U_Acorn
7-14-7-1-74-0,7,14.0,7.0,1,74,0,18,0,3,300,1.0,0.0,108.45666666666666,O_Leaf U_Heart U_Leaf O_Bell 8_Leaf U_Bell O_Heart O_Acorn
7-14-3-1-72-1,7,14.0,3.0,1,72,1,27,11,1,300,1.0,0.0,114.62333333333333,A_Leaf O_Acorn U_Acorn 9_Heart O_Bell U_Leaf O_Heart O_Leaf
5-14-7-1-55-2,5,14.0,7.0,1,55,2,35,22,5,300,1.0,0.0,105.65666666666667,O_Heart U_Bell U_Leaf O_Leaf O_Acorn A_Acorn A_Leaf 7_Bell
8-13-4-0-63-0,8,13.0,4.0,0,63,0,37,0,1,300,1.0,0.0,102.69666666666667,A_Heart 10_Heart O_Bell U_Bell U_Heart K_Heart O_Leaf U_Leaf
8-14-2-0-71-0,8,14.0,2.0,0,71,0,19,0,5,300,1.0,0.0,109.00666666666666,U_Leaf O_Acorn U_Acorn O_Leaf 8_Heart O_Heart U_Bell K_Heart
6-14-7-1-63-2,6,14.0,7.0,1,63,2,37,22,4,300,1.0,0.0,111.08,U_Acorn O_Leaf A_Bell U_Bell O_Acorn O_Bell A_Acorn U_Heart
7-13-6-1-69-1,7,13.0,6.0,1,69,1,37,11,1,300,1.0,0.0,108.87333333333333,O_Leaf U_Acorn U_Leaf O_Bell A_Leaf O_Heart U_Heart A_Heart
7-14-6-1-66-1,7,14.0,6.0,1,66,1,36,11,1,300,1.0,0.0,105.04,U_Heart O_Acorn A_Heart O_Heart U_Bell A_Acorn U_Leaf U_Acorn
6-14-6-1-64-1,6,14.0,6.0,1,64,1,45,21,17,300,1.0,0.0,105.33666666666667,A_Leaf O_Leaf U_Leaf U_Acorn A_Heart O_Acorn 10_Bell O_Heart
6-14-8-1-65-1,6,14.0,8.0,1,65,1,26,11,5,300,1.0,0.0,104.50333333333333,O_Bell U_Heart 7_Bell O_Acorn U_Acorn U_Leaf A_Acorn O_Leaf
7-14-6-1-75-0,7,14.0,6.0,1,75,0,27,0,5,300,1.0,0.0,108.91,U_Leaf O_Acorn 7_Leaf A_Heart O_Heart O_Leaf U_Acorn O_Bell
6-14-9-1-69-0,6,14.0,9.0,1,69,0,16,0,20,300,1.0,0.0,104.34666666666666,O_Acorn 9_Acorn O_Leaf O_Heart U_Acorn U_Leaf 7_Leaf O_Bell
6-14-3-1-63-1,6,14.0,3.0,1,63,1,29,15,5,300,1.0,0.0,106.53333333333333,O_Acorn K_Acorn O_Leaf U_Acorn 9_Heart A_Bell O_Bell O_Heart
7-14-7-1-72-0,7,14.0,7.0,1,72,0,17,0,2,300,1.0,0.0,105.74666666666667,8_Bell U_Acorn U_Heart O_Bell U_Bell U_Leaf O_Acorn O_Leaf
6-13-6-1-60-2,6,13.0,6.0,1,60,2,46,22,1,300,1.0,0.0,104.55,A_Heart U_Acorn O_Leaf A_Bell U_Heart A_Leaf O_Heart O_Bell
6-14-9-1-69-1,6,14.0,9.0,1,69,1,27,11,9,300,1.0,0.0,111.80333333333333,O_Acorn O_Leaf U_Acorn 8_Leaf O_Bell A_Acorn O_Heart U_Leaf
8-14-4-0-71-0,8,14.0,4.0,0,71,0,29,0,2,300,1.0,0.0,108.37666666666667,U_Bell K_Heart O_Leaf 10_Heart U_Heart O_Acorn U_Leaf O_Bell
6-14-7-1-64-2,6,14.0,7.0,1,64,2,37,22,1,300,1.0,0.0,111.04666666666667,U_Leaf O_Bell A_Bell U_Bell O_Leaf O_Acorn A_Leaf U_Acorn
8-14-6-0-82-0,8,14.0,6.0,0,82,0,29,0,1,300,1.0,0.0,117.91333333333333,U_Leaf A_Heart U_Bell O_Heart O_Bell O_Acorn U_Acorn O_Leaf
7-13-3-1-66-1,7,13.0,3.0,1,66,1,26,11,2,300,1.0,0.0,106.94333333333333,O_Heart U_Heart O_Bell 9_Heart U_Leaf O_Leaf U_Acorn A_Bell
5-14-10-1-60-2,5,14.0,10.0,1,60,2,36,22,2,300,1.0,0.0,111.69666666666667,O_Acorn O_Bell O_Heart 7_Acorn A_Leaf O_Leaf A_Bell U_Acorn
7-14-2-1-71-0,7,14.0,2.0,1,71,0,16,0,2,300,1.0,0.0,108.46333333333334,O_Leaf 8_Heart O_Heart 8_Acorn O_Acorn U_Leaf U_Acorn O_Bell
8-13-5-0-75-0,8,13.0,5.0,0,75,0,27,0,2,300,1.0,0.0,109.4,O_Heart O_Leaf U_Acorn U_Leaf U_Heart 10_Heart U_Bell O_Bell
7-14-2-1-70-0,7,14.0,2.0,1,70,0,16,0,1,300,1.0,0.0,105.47333333333333,U_Acorn O_Heart 8_Heart O_Leaf U_Heart O_Bell O_Acorn 7_Acorn
6-14-8-1-64-2,6,14.0,8.0,1,64,2,37,22,1,300,1.0,0.0,110.34333333333333,O_Heart U_Heart A_Leaf A_Acorn U_Acorn O_Acorn O_Bell U_Leaf
7-14-7-1-71-1,7,14.0,7.0,1,71,1,28,11,1,300,1.0,0.0,111.35,U_Heart O_Bell O_Acorn U_Acorn A_Leaf U_Bell U_Leaf O_Heart
7-14-4-1-71-1,7,14.0,4.0,1,71,1,31,11,3,300,1.0,0.0,112.91333333333333,O_Bell O_Heart U_Bell K_Heart A_Bell O_Acorn O_Leaf U_Acorn
8-14-7-0-84-0,8,14.0,7.0,0,84,0,20,0,2,300,1.0,0.0,120.0,O_Leaf O_Heart U_Bell O_Acorn U_Leaf U_Acorn O_Bell U_Heart
8-14-0-0-63-0,8,14.0,,0,63,0,24,0,10,300,1.0,0.0,102.37,7_Heart O_Heart 9_Heart O_Bell A_Heart U_Heart O_Acorn U_Leaf
7-14-6-1-72-1,7,14.0,6.0,1,72,1,38,11,4,300,1.0,0.0,111.63666666666667,U_Bell U_Leaf A_Heart O_Bell A_Acorn O_Heart O_Acorn O_Leaf
6-14-5-1-60-2,6,14.0,5.0,1,60,2,45,22,3,300,1.0,0.0,106.10333333333334,U_Bell O_Leaf O_Bell A_Leaf 10_Heart O_Acorn A_Bell U_Acorn
6-14-9-2-69-1,6,14.0,9.0,2,69,1,31,15,3,300,1.0,0.0,111.89,A_Leaf U_Acorn O_Leaf O_Heart O_Bell K_Leaf U_Leaf O_Acorn
6-14-9-2-69-0,6,14.0,9.0,2,69,0,26,10,6,300,1.0,0.0,107.84666666666666,7_Acorn O_Heart O_Acorn U_Acorn U_Leaf O_Leaf 10_Acorn O_Bell
7-14-6-1-74-0,7,14.0,6.0,1,74,0,27,0,7,300,1.0,0.0,108.03,U_Acorn U_Heart O_Leaf A_Heart 8_Leaf O_Heart O_Acorn O_Bell
7-14-7-1-73-0,7,14.0,7.0,1,73,0,21,4,5,300,1.0,0.0,107.0,U_Heart U_Leaf O_Heart U_Acorn O_Leaf U_Bell K_Leaf O_Acorn
6-14-5-1-64-2,6,14.0,5.0,1,64,2,46,22,1,300,1.0,0.0,109.89,U_Leaf A_Bell O_Acorn A_Leaf O_Heart O_Bell O_Leaf 10_Heart
6-14-4-1-64-2,6,14.0,4.0,1,64,2,40,22,1,300,1.0,0.0,112.02,K_Heart A_Bell A_Acorn U_Acorn O_Acorn O_Heart O_Leaf O_Bell
7-13-5-1-64-1,7,13.0,5.0,1,64,1,35,11,2,300,1.0,0.0,101.42666666666666,O_Leaf O_Heart U_Bell 10_Heart U_Leaf U_Acorn U_Heart A_Acorn
6-14-8-1-68-0,6,14.0,8.0,1,68,0,16,0,13,300,1.0,0.0,102.02,O_Leaf 9_Leaf U_Acorn O_Bell O_Heart U_Heart 7_Acorn O_Acorn
8-13-2-0-64-0,8,13.0,2.0,0,64,0,17,0,1,300,1.0,0.0,100.56,8_Heart O_Heart U_Leaf 9_Heart U_Acorn O_Bell O_Leaf K_Heart
7-13-5-1-67-0,7,13.0,5.0,1,67,0,25,0,2,300,1.0,0.0,99.90333333333334,O_Bell U_Bell U_Acorn O_Heart O_Leaf 7_Acorn 10_Heart U_Leaf
6-14-6-1-65-2,6,14.0,6.0,1,65,2,47,22,1,300,1.0,0.0,111.03666666666666,A_Acorn U_Leaf O_Leaf A_Leaf A_Heart O_Heart O_Acorn O_Bell
6-14-7-2-66-0,6,14.0,7.0,2,66,0,16,0,12,300,1.0,0.0,99.09,O_Leaf O_Acorn U_Bell U_Leaf 7_Bell O_Bell O_Heart 8_Bell
8-14-2-0-64-0,8,14.0,2.0,0,64,0,33,0,4,300,1.0,0.0,103.93666666666667,U_Bell O_Acorn U_Heart U_Leaf 8_Heart 10_Heart A_Heart O_Leaf
5-14-8-1-55-2,5,14.0,8.0,1,55,2,35,22,17,300,1.0,0.0,104.68333333333334,O_Leaf U_Heart 8_Leaf O_Bell O_Acorn A_Bell A_Acorn U_Leaf
6-13-3-1-57-2,6,13.0,3.0,1,57,2,35,22,1,300,1.0,0.0,104.05,U_Acorn O_Leaf O_Bell A_Acorn U_Heart A_Leaf 9_Heart O_Heart
6-14-6-1-61-2,6,14.0,6.0,1,61,2,46,22,4,300,1.0,0.0,107.47666666666667,O_Bell A_Heart A_Leaf O_Acorn U_Acorn O_Leaf U_Bell A_Bell
8-14-2-0-70-0,8,14.0,2.0,0,70,0,24,0,2,300,1.0,0.0,110.45,9_Heart U_Acorn 8_Heart O_Bell O_Acorn O_Leaf O_Heart 10_Heart
7-14-4-1-70-1,7,14.0,4.0,1,70,1,31,11,8,300,1.0,0.0,111.54666666666667,U_Leaf O_Acorn O_Bell O_Heart A_Leaf K_Heart U_Bell O_Leaf
6-14-2-1-62-2,6,14.0,2.0,1,62,2,36,22,1,300,1.0,0.0,112.82,O_Acorn 8_Heart A_Leaf A_Bell O_Bell U_Acorn O_Heart O_Leaf
6-14-4-1-64-1,6,14.0,4.0,1,64,1,33,15,3,300,1.0,0.0,105.73666666666666,U_Acorn K_Bell O_Heart A_Leaf O_Bell K_Heart O_Leaf O_Acorn
8-14-0-0-67-0,8,14.0,,0,67,0,15,0,11,300,1.0,0.0,107.48666666666666,O_Acorn 8_Heart O_Leaf 7_Heart O_Bell U_Heart U_Leaf U_Acorn
7-14-0-1-68-0,7,14.0,,1,68,0,20,4,2,300,1.0,0.0,107.40333333333334,O_Leaf U_Heart O_Heart 7_Heart O_Bell O_Acorn U_Acorn K_Leaf
8-14-0-0-70-0,8,14.0,,0,70,0,20,0,1,300,1.0,0.0,109.46,7_Heart O_Leaf K_Heart O_Bell O_Acorn U_Leaf O_Heart U_Bell
6-14-3-1-61-2,6,14.0,3.0,1,61,2,36,22,1,300,1.0,0.0,110.22,O_Bell O_Heart 9_Heart A_Bell O_Leaf O_Acorn A_Acorn U_Heart
7-14-2-1-70-1,7,14.0,2.0,1,70,1,27,11,1,300,1.0,0.0,113.01,A_Leaf O_Leaf 8_Heart O_Acorn U_Heart U_Acorn O_Bell O_Heart
7-14-7-1-76-0,7,14.0,7.0,1,76,0,22,4,5,300,1.0,0.0,111.56,U_Bell O_Acorn U_Acorn U_Leaf K_Leaf O_Heart O_Leaf O_Bell
8-14-0-0-68-0,8,14.0,,0,68,0,35,0,7,300,1.0,0.0,109.15666666666667,A_Heart 10_Heart O_Bell 7_Heart O_Heart U_Bell O_Acorn O_Leaf
5-14-8-2-58-2,5,14.0,8.0,2,58,2,36,22,7,300,1.0,0.0,104.46333333333334,O_Acorn O_Bell O_Heart U_Heart O_Leaf A_Leaf 7_Acorn A_Acorn
7-14-4-1-70-0,7,14.0,4.0,1,70,0,23,4,13,300,1.0,0.0,103.42,O_Heart O_Leaf K_Heart O_Acorn U_Heart U_Acorn U_Leaf K_Acorn
7-14-0-1-65-1,7,14.0,,1,65,1,36,11,5,300,1.0,0.0,110.92,O_Bell U_Leaf A_Bell O_Leaf A_Heart O_Acorn O_Heart 7_Heart
6-14-2-2-61-1,6,14.0,2.0,2,61,1,35,21,5,300,1.0,0.0,110.74666666666667,O_Acorn O_Leaf 10_Bell 8_Heart A_Bell O_Bell U_Leaf O_Heart
8-14-2-0-73-0,8,14.0,2.0,0,73,0,17,0,5,300,1.0,0.0,108.47666666666667,U_Leaf O_Bell U_Acorn O_Heart O_Acorn U_Heart 8_Heart U_Bell
8-14-0-0-64-0,8,14.0,,0,64,0,15,0,5,300,1.0,0.0,102.71333333333334,U_Heart U_Leaf O_Acorn 9_Heart O_Heart 7_Heart U_Bell O_Bell
8-13-0-0-64-0,8,13.0,,0,64,0,25,0,4,300,1.0,0.0,101.84666666666666,7_Heart O_Leaf U_Bell O_Bell U_Leaf U_Heart U_Acorn A_Heart
8-14-5-0-80-0,8,14.0,5.0,0,80,0,28,0,1,300,1.0,0.0,114.66666666666667,O_Acorn U_Acorn O_Leaf U_Heart U_Bell O_Heart O_Bell 10_Heart
6-14-6-1-59-2,6,14.0,6.0,1,59,2,45,22,2,300,1.0,0.0,103.33,O_Acorn A_Acorn U_Bell U_Acorn A_Leaf O_Leaf A_Heart U_Leaf
7-14-0-1-67-0,7,14.0,,1,67,0,26,10,5,300,1.0,0.0,107.9,O_Leaf O_Bell U_Acorn U_Bell O_Heart O_Acorn 7_Heart 10_Leaf
7-14-4-1-69-0,7,14.0,4.0,1,69,0,19,0,15,300,1.0,0.0,103.77666666666667,O_Leaf U_Bell O_Heart O_Acorn 9_Acorn U_Acorn K_Heart U_Leaf
5-14-7-1-57-1,5,14.0,7.0,1,57,1,29,15,13,300,1.0,0.0,100.04666666666667,O_Acorn O_Bell O_Heart U_Bell 8_Bell O_Leaf A_Leaf K_Acorn
8-14-4-0-68-0,8,14.0,4.0,0,68,0,37,0,3,300,1.0,0.0,105.36666666666666,U_Leaf O_Acorn A_Heart K_Heart U_Acorn O_Leaf U_Bell 10_Heart
8-13-4-0-71-0,8,13.0,4.0,0,71,0,30,0,2,300,1.0,0.0,106.31333333333333,U_Bell O_Heart A_Heart U_Heart O_Bell U_Acorn K_Heart O_Leaf
6-14-8-1-68-2,6,14.0,8.0,1,68,2,38,22,2,300,1.0,0.0,117.11,A_Bell A_Leaf U_Heart O_Leaf O_Bell O_Heart O_Acorn U_Acorn
5-14-0-1-50-2,5,14.0,,1,50,2,38,26,4,300,1.0,0.0,105.93,O_Bell K_Leaf O_Acorn O_Heart O_Leaf A_Acorn A_Bell 7_Heart
8-12-4-0-62-0,8,12.0,4.0,0,62,0,37,0,1,300,1.0,0.0,100.92666666666666,10_Heart A_Heart U_Leaf U_Heart K_Heart O_Heart O_Bell U_Bell
8-13-3-0-65-0,8,13.0,3.0,0,65,0,28,0,2,300,1.0,0.0,103.34,O_Bell O_Leaf K_Heart O_Heart U_Leaf U_Bell A_Heart 9_Heart
8-14-3-0-75-0,8,14.0,3.0,0,75,0,26,0,1,300,1.0,0.0,111.83,O_Heart A_Heart U_Leaf O_Leaf U_Heart U_Acorn 9_Heart O_Acorn
8-13-3-0-61-0,8,13.0,3.0,0,61,0,36,0,2,300,1.0,0.0,102.95666666666666,O_Leaf A_Heart 10_Heart 9_Heart U_Bell O_Heart K_Heart O_Bell
7-14-2-1-66-1,7,14.0,2.0,1,66,1,26,11,11,300,1.0,0.0,107.41666666666667,O_Heart O_Leaf 8_Heart U_Acorn U_Bell O_Acorn U_Heart A_Acorn
7-14-0-1-67-1,7,14.0,,1,67,1,27,11,2,300,1.0,0.0,112.39,7_Heart O_Heart O_Bell O_Leaf U_Heart O_Acorn A_Leaf U_Leaf
6-14-7-1-65-2,6,14.0,7.0,1,65,2,38,22,1,300,1.0,0.0,112.71333333333334,O_Acorn O_Heart O_Bell U_Heart A_Bell A_Acorn U_Bell O_Leaf
8-14-5-0-81-0,8,14.0,5.0,0,81,0,28,0,1,300,1.0,0.0,116.57,U_Leaf O_Heart O_Leaf U_Bell U_Acorn O_Bell O_Acorn 10_Heart
8-14-3-0-72-0,8,14.0,3.0,0,72,0,20,0,2,300,1.0,0.0,109.28,O_Heart K_Heart 9_Heart U_Heart O_Bell O_Acorn U_Bell O_Leaf
8-13-0-0-68-0,8,13.0,,0,68,0,25,0,1,300,1.0,0.0,105.31333333333333,U_Acorn 10_Heart O_Heart U_Heart O_Bell 7_Heart U_Leaf O_Leaf
7-14-3-1-72-0,7,14.0,3.0,1,72,0,16,0,3,300,1.0,0.0,109.07,9_Heart U_Leaf O_Acorn O_Heart U_Acorn O_Leaf 9_Bell O_Bell
6-14-7-1-66-2,6,14.0,7.0,1,66,2,38,22,1,300,1.0,0.0,113.69333333333333,O_Acorn U_Bell A_Acorn U_Leaf O_Heart O_Bell O_Leaf A_Bell
7-14-5-1-73-1,7,14.0,5.0,1,73,1,37,11,2,300,1.0,0.0,111.4,O_Acorn O_Heart U_Acorn O_Leaf A_Acorn U_Heart O_Bell 10_Heart
8-14-0-0-69-0,8,14.0,,0,69,0,25,0,5,300,1.0,0.0,108.42,U_Bell O_Acorn 7_Heart O_Bell U_Leaf O_Leaf 10_Heart U_Acorn
7-14-7-1-74-1,7,14.0,7.0,1,74,1,29,11,1,300,1.0,0.0,115.46333333333334,O_Leaf U_Leaf O_Heart O_Bell U_Heart A_Leaf U_Bell O_Acorn
7-14-0-1-66-1,7,14.0,,1,66,1,27,11,1,300,1.0,0.0,111.57666666666667,7_Heart O_Leaf U_Leaf O_Bell U_Bell A_Bell O_Heart O_Acorn
7-14-8-1-77-0,7,14.0,8.0,1,77,0,18,0,3,300,1.0,0.0,113.36333333333333,O_Acorn U_Leaf U_Acorn O_Bell U_Heart O_Leaf 8_Leaf O_Heart
6-14-8-2-68-0,6,14.0,8.0,2,68,0,16,0,8,300,1.0,0.0,101.19666666666667,O_Acorn 9_Acorn O_Leaf U_Acorn U_Heart O_Bell O_Heart 7_Acorn
7-14-4-1-73-0,7,14.0,4.0,1,73,0,30,10,3,300,1.0,0.0,109.22,O_Acorn O_Heart O_Bell U_Leaf U_Acorn O_Leaf K_Heart 10_Bell
8-14-3-0-67-0,8,14.0,3.0,0,67,0,27,0,4,300,1.0,0.0,103.79666666666667,10_Heart U_Heart O_Leaf 9_Heart K_Heart U_Leaf O_Bell O_Acorn
8-14-2-0-72-0,8,14.0,2.0,0,72,0,19,0,2,300,1.0,0.0,109.59,O_Leaf U_Acorn O_Heart K_Heart O_Acorn 8_Heart U_Heart U_Leaf
8-14-3-0-79-0,8,14.0,3.0,0,79,0,18,0,1,300,1.0,0.0,115.49,U_Bell O_Acorn O_Heart U_Leaf O_Leaf U_Acorn 9_Heart O_Bell
7-14-6-1-65-1,7,14.0,6.0,1,65,1,36,11,1,300,1.0,0.0,103.96333333333334,A_Heart U_Bell U_Heart O_Bell U_Leaf U_Acorn O_Acorn A_Bell
8-14-2-0-78-0,8,14.0,2.0,0,78,0,18,0,1,300,1.0,0.0,116.03,8_Heart U_Leaf O_Leaf O_Acorn O_Heart U_Bell U_Acorn O_Bell
7-14-4-1-73-1,7,14.0,4.0,1,73,1,31,11,2,300,1.0,0.0,114.78333333333333,O_Leaf U_Leaf U_Acorn O_Bell O_Acorn O_Heart K_Heart A_Leaf
8-14-2-0-69-0,8,14.0,2.0,0,69,0,19,0,7,300,1.0,0.0,105.03333333333333,K_Heart O_Heart O_Acorn U_Bell U_Leaf U_Acorn O_Bell 8_Heart
5-14-4-1-53-2,5,14.0,4.0,1,53,2,37,22,4,300,1.0,0.0,103.41666666666667,K_Heart A_Bell 9_Acorn O_Leaf O_Acorn A_Leaf O_Heart U_Acorn
